Rank,Competitor,DOB,Nat,Pos,Venue,Date,World Athletics Event Ranking Score,Men 100,Men 100 Wind,Men 100 Score,Men LJ,Men LJ Wind,Men LJ Score,Men SP,Men SP Score,Men HJ,Men HJ Score,Men 400,Men 400 Score,Men 110h,Men 110h Wind,Men 110h Score,Men DT,Men DT Score,Men PV,Men PV Score,Men JT,Men JT Score,Men 1500,Men 1500 Score,Overall Score
494,Hiroyoshi USHIRO,10/25/1994,JPN,3,Osaka (JPN),9/13/2015,975,11.48,-0.2,757,6.43,0.2,682,11.45,573,1.99,794,50.90,774,15.02,0.1,847,36.83,600,4.00,617,52.31,623,04:29.5,748.26,7015
494,Javier PÉREZ,1/9/1988,ESP,18,Inowroclaw (POL),7/5/2015,975,11.74,-1.9,703,6.88,2.6,785,12.25,622,1.89,705,51.95,727,14.84,0.8,869,34.96,563,4.60,790,49.23,577,04:41.0,674.26,7015
495,Reese THOMPSON,7/14/1995,USA,2,"Fort Worth, TX (USA)",5/14/2016,975,10.9,2.1,883,6.81,2.7,769,11.70,588,1.75,585,51.48,748,14.67,2.6,890,35.41,572,4.70,819,46.10,531,04:48.2,630.30,7015
440,Zhen ZHANG,2/20/1996,CHN,4,Guiyang (CHN),6/16/2018,975,11.37,0.6,780,7.16,0.2,852,11.25,561,1.94,749,50.70,783,14.90,0.1,862,36.45,593,3.60,509,57.52,701,04:49.1,624.72,7014
418,Michele CALVI,6/7/1990,ITA,15,"Blankers-Koen Stadion, Hengelo (NED)",6/27/2010,975,11.07,-1.7,845,6.73,1.4,750,12.70,649,1.71,552,50.83,777,14.62,-1.5,896,43.88,744,3.90,590,57.34,698,05:08.2,513.82,7014
521,Fabian STEFFEN,3/20/1999,SUI,1,"Burgerfeld, Kreuzlingen (SUI)",6/16/2019,975,11.47,0.5,759,7.22,-0.3,866,11.84,597,1.86,679,52.02,724,16.01,-0.2,732,35.48,573,4.41,734,54.57,656,04:37.9,694.21,7014
322,Edgars ERIŅŠ,6/18/1986,LAT,18,Yalta (UKR),7/2/2006,975,11.21,-0.2,814,6.98,0.9,809,12.17,617,1.77,602,49.26,849,15.55,2,784,38.66,637,3.60,509,50.93,602,04:23.0,791.57,7014
472,Sam CORLEY,,USA,5,"Morris Williams T&F Stadium, Durham, NC (USA)",5/13/2022,975,11.18,3.1,821,6.83,3.1,774,12.51,637,1.92,731,50.91,773,15.32,1.7,811,33.7,538,4.25,688,50.81,601,04:46.4,640.73,7014
155,Jorge DAVILA,5/11/2000,ESP,6,"Estadio Vallehermoso, Madrid (ESP)",9/13/2020,975,11.3,0.4,795,6.83,0.4,774,11.71,589,1.88,696,49.58,834,16.04,0.6,728,35.61,576,4.40,731,50.58,597,04:37.9,694.27,7014
513,Garrett DEMIRJIAN,,USA,1,"Davis, CA (USA)",5/10/2014,975,11.57,0.2,738,6.60,3,720,12.37,629,1.89,705,50.49,792,14.98,2.7,852,40.3,671,4.09,642,50.10,590,04:40.8,675.89,7014
457,Brett LOMBARDI,,USA,4,"Cougar Athletic Stadium, Azusa, CA (USA)",4/10/2021,975,11.4,1.6,774,6.67,1.4,736,10.33,505,1.92,731,49.89,820,15.53,0.7,787,37.87,621,4.30,702,49.63,583,04:28.4,755.38,7014
440,Jonathan PLY,,USA,1f2,"Azusa, CA (USA)",4/20/2018,975,11.81,0.9,689,6.52,0,702,10.26,501,2.04,840,50.20,805,14.95,0.3,856,35.52,574,4.20,673,49.23,577,04:22.1,797.58,7014
412,Joey SCHWECKE,1/6/1988,USA,3,"Columbus, OH (USA)",5/16/2009,975,11.24,-0.8,808,7.17,1.5,854,12.79,654,1.98,785,51.94,727,16.66,4.5,660,41.17,688,4.25,688,48.76,570,04:56.5,580.55,7014
472,Martin KRATZ,10/25/2000,GER,1,"Fleinsbachstadion, Bernhausen, Filderstadt (GER)",8/28/2022,975,11.13,1.5,832,6.84,0.7,776,12.99,667,1.94,749,52.10,720,15.20,0.2,825,35.57,575,4.40,731,48.34,564,04:57.3,575.82,7014
155,Joni HEIKKINEN,10/19/1999,FIN,6,"Paavo Nurmi Stadium, Turku (FIN)",8/15/2020,975,11.42,-0.9,769,6.75,0.2,755,12.96,665,1.92,731,51.47,748,15.55,0.6,784,38.84,641,4.22,679,46.76,541,04:36.7,701.72,7014
493,Victor DE SOUZA SANTOS,11/8/1992,BRA,1,Campinas (BRA),9/15/2013,975,11.25,1.2,806,7.19,2.1,859,12.56,640,2.03,831,51.01,769,15.91,2.2,743,34.26,549,4.11,648,45.73,526,04:46.2,642.08,7014
418,Jaroslav HEDVIČÁK,12/13/1990,CZE,5,Stará Boleslav (CZE),5/30/2010,975,10.95,0.3,872,6.91,-0.9,792,10.85,537,1.87,687,48.11,904,15.11,-0.2,836,31.18,488,4.30,702,43.39,491,04:36.2,705.17,7014
383,Eugène MARTINEAU,5/14/1980,NED,22,Tallinn (EST),7/6/2003,974,11.29,2,797,6.79,2.3,764,13.23,681,1.91,723,50.98,770,15.62,1.9,776,36.59,596,4.00,617,56.19,681,04:51.7,608.65,7013
496,André DÜSTERHÖFT,2/15/1993,GER,2,Wesel (GER),5/22/2016,974,11.61,1.4,730,6.72,1.5,748,11.67,586,2.00,803,51.88,730,16.06,-1.1,726,36.65,597,4.20,673,54.75,659,04:27.5,761.46,7013
514,Nils MAX,6/16/1905,GER,4,Ulm (GER),5/25/2014,974,11.36,2,782,6.67,1,736,12.49,636,1.96,767,50.52,791,15.86,0,749,32.78,519,4.30,702,53.05,634,04:37.4,697.51,7013
495,Kurt REICHENBACH,9/3/1989,USA,21,"Eugene, OR (USA)",6/6/2013,974,11.38,2.2,778,6.97,1.9,807,11.38,569,1.90,714,51.23,759,15.60,0,778,36.62,596,4.40,731,52.79,630,04:44.7,651.43,7013
492,Tommy BARRINEAU,8/28/1988,FIN,9,Viljandi (EST),6/3/2012,974,11.33,0.9,789,6.90,1.4,790,11.94,603,1.86,679,50.55,789,15.21,2.5,824,31.28,490,4.65,804,51.20,606,04:46.6,639.94,7013
496,Asuka KASHIWAGURA,12/17/1994,JPN,13,Nagano (JPN),6/12/2016,974,11.34,1.6,786,6.86,2.3,781,10.42,511,1.90,714,50.32,800,14.42,2.1,921,29.91,463,4.30,702,50.88,602,04:31.7,733.72,7013
496,John BRAGA,,USA,8,"Bradenton, FL (USA)",5/27/2016,974,11.35,-0.3,784,7.09,1.9,835,10.46,513,1.99,794,50.15,808,15.63,-0.1,775,32.85,521,4.20,673,49.52,581,04:32.4,729.17,7013
474,Yevgeniy CHERNOV,11/9/1991,RUS,8,"Olympic Stadium, Cheboksary (RUS)",8/3/2022,974,11.36,1.6,782,7.04,0.6,823,12.83,657,1.87,687,51.32,755,15.49,0.5,791,35.67,577,4.50,760,48.93,573,04:51.8,608.30,7013
496,Alex KRALL,6/6/1994,USA,3,"Tallahassee, FL (USA)",5/14/2016,974,11.06,0.9,847,6.39,0.5,673,12.35,628,1.80,627,50.38,797,14.86,0.1,867,33.9,542,4.60,790,45.62,524,04:34.1,718.16,7013
514,Brandon ZARNOTH,5/1/1993,USA,2,"Delaware, OH (USA)",5/23/2014,974,10.84,2.5,897,6.62,-1.6,725,12.00,606,1.84,661,49.28,848,14.92,2.2,859,36.68,597,4.30,702,44.96,514,04:52.4,604.59,7013
495,Theodore ELSENBAUMER,,USA,1,"Stockton, CA (USA)",4/6/2013,974,11.57,-2.9,738,6.48,,693,11.91,601,1.91,723,49.42,842,15.41,0.1,801,35.94,583,4.60,790,44.25,504,04:31.1,738.03,7013
157,Dimitri MONTILLA,1/13/1998,BEL,2,"Boudewijnstadion, Bruxelles (BEL)",8/16/2020,974,11.61,-1.3,730,6.67,0.1,736,13.30,686,1.87,687,51.04,767,15.10,0,837,38.98,644,4.50,760,43.35,491,04:40.9,675.20,7013
458,Simon REY,5/26/1997,FRA,5,"Stade Josette et Roger Mikulak, Angers (FRA)",6/26/2021,974,11.42,1.3,769,6.73,0.6,750,12.71,650,1.82,644,52.92,685,15.19,-1.1,827,43.11,728,4.70,819,42.91,484,04:43.8,657.12,7013
497,Tanner MCNUTT,10/11/1994,USA,2,St. Charles (USA),5/2/2015,974,10.87,1.9,890,6.95,1.9,802,12.14,615,1.86,679,48.68,876,15.61,1.2,777,36.82,600,4.50,760,42.57,479,05:04.3,535.83,7013
458,Guillaume CONDE,6/23/1997,FRA,2,"Stade Christophe Lemaitre, Oyonnax (FRA)",6/20/2021,974,11.26,2.5,804,6.67,2.4,736,11.74,591,1.95,758,49.77,825,14.88,1.3,864,32.61,516,4.40,731,41.42,463,04:33.1,725.01,7013
458,Cannon RIDDLE,,USA,1,"USF Track Complex, Tampa, FL (USA)",5/15/2021,974,11.18,-1.4,821,7.13,0.7,845,11.19,557,1.91,723,49.22,851,15.14,4,833,34.32,550,4.50,760,40.58,451,04:49.5,622.36,7013
413,Qingquan LIN,4/6/1987,CHN,11,Jinan (CHN),10/25/2009,974,11.23,-0.5,810,6.66,-0.2,734,13.47,696,1.88,696,51.38,752,16.06,0.6,726,39.96,664,4.00,617,63.99,798,05:07.2,519.76,7012
370,Ali KAME,5/21/1984,MAD,7,Algiers (ALG),7/19/2007,974,11.39,1.7,776,6.64,1.3,729,11.35,567,1.85,670,50.02,814,14.97,0.1,853,35.34,570,4.00,617,60.43,744,04:41.3,672.82,7012
522,Benjamín Jóhann JOHNSEN,8/27/1996,ISL,1,Akureyri (ISL),8/18/2019,974,11.43,2.3,767,6.57,0,713,11.19,557,1.90,714,52.23,715,15.47,2.4,794,42.01,706,4.24,685,55.71,674,04:38.9,687.80,7012
493,Marcin PRZYBYŁ,3/16/1989,POL,4,Warszawa (POL),7/15/2012,974,11.68,-0.5,715,6.71,3,746,13.34,688,2.03,831,54.00,640,15.23,,822,44.38,754,4.10,645,55.15,665,05:09.6,506.26,7012
498,Gianluca SIMIONATO,8/8/1990,ITA,2,Lana (ITA),5/31/2015,974,11.6,-0.8,732,6.96,2.6,804,12.98,666,1.94,749,52.58,700,15.81,-1.6,754,38.61,636,4.10,645,53.45,640,04:39.1,686.22,7012
497,Josh MCMILLIN,7/24/1990,USA,1,"Fort Collins, CO (USA)",4/26/2013,974,11.36,,782,6.57,0,713,13.35,689,1.96,767,53.29,669,15.84,0.5,751,37.37,611,4.90,880,52.70,629,05:06.8,521.43,7012
285,Oleksandr MARCHUGANYTIS,5/15/1985,UKR,18,Jyväskylä (FIN),6/29/2008,974,11.23,1.7,810,6.41,-0.7,677,13.01,668,1.89,705,49.58,834,15.86,1.3,749,36.7,598,4.60,790,49.57,582,04:53.3,599.59,7012
493,John BRUNK,7/20/1991,USA,2,"Stockton, CA (USA)",4/7/2012,974,11.11,,836,6.69,,741,10.80,534,1.91,723,49.05,859,16.38,,691,34.69,557,4.47,751,47.14,546,04:26.0,771.37,7012
541,Josh MULDER,3/16/1995,USA,1,"Jacksonville, FL (USA)",5/13/2017,974,11.24,0.4,808,6.64,1.2,729,12.44,633,1.84,661,49.34,845,14.52,2.7,908,35.99,584,5.00,910,45.47,522,05:27.5,412.15,7012
498,Mingyang LI,3/15/1993,CHN,4,Beijing (CHN),6/28/2015,974,11.18,-0.5,821,6.92,0.9,795,12.17,617,1.89,705,48.98,862,15.16,0.1,830,36.62,596,4.20,673,44.70,511,04:52.8,602.39,7012
390,Rick HILL,12/17/1980,USA,20,"Austin, TX (USA)",6/12/2004,974,11.27,1.6,801,6.30,1.2,652,11.99,606,1.85,670,50.03,813,14.97,3.1,853,40.12,667,4.50,760,42.82,483,04:32.4,729.43,7012
499,Rodrigo SAGAON,4/9/1988,MEX,1,Morelia (MEX),7/7/2013,974,11.23,2.1,810,6.41,-1.9,677,11.77,592,1.80,627,48.94,864,15.64,-0.3,774,39.17,648,4.50,760,56.48,685,04:57.6,574.18,7011
523,Kimihito MORIMOTO,4/21/1993,JPN,1,"Municipal Stadium, Nara (JPN)",5/5/2019,974,11.22,0.3,812,6.86,1.9,781,12.42,632,1.86,679,49.41,842,15.42,-0.6,799,37.43,613,4.00,617,55.08,664,04:58.0,572.03,7011
500,Seth PEARSON,,USA,3,"San Angelo, TX (USA)",3/19/2015,974,11.18,1.4,821,6.86,0.5,781,11.16,556,1.84,661,49.81,823,15.31,3.6,812,35.57,575,4.24,685,54.37,654,04:46.1,643.06,7011
523,Domantas DOBREGA,5/3/1999,LTU,2,Alytus (LTU),6/16/2019,974,11.16,1.4,825,7.15,0.8,850,12.67,647,1.99,794,50.20,805,16.64,0,662,32.64,517,4.10,645,52.34,623,04:46.0,643.62,7011
495,Mike MARSH,3/20/1980,USA,1,"Cincinnati, OH (USA)",3/31/2012,974,11.36,0.1,782,6.62,1.8,725,13.06,671,1.95,758,52.80,690,15.49,0,791,39.71,659,4.50,760,52.10,620,05:00.8,555.63,7011
475,William EGGERS,,USA,2,"Drake Stadium, Des Moines, IA (USA)",4/28/2022,974,11.51,-2.5,750,6.61,3.1,723,12.71,650,1.83,653,50.33,799,15.68,0.3,769,41.61,697,4.30,702,52.01,618,04:44.9,650.07,7011
475,Edwin Kipmutai TOO,4/14/1995,KEN,4,"Cote d'Or National Sports Complex, St Pierre (MRI)",6/11/2022,974,10.88,3.7,888,7.44,3.1,920,8.62,403,1.93,740,50.58,788,15.44,2.9,797,34.72,558,4.00,617,50.71,599,04:36.7,701.53,7011
442,Ben OSE,11/10/1996,USA,11,"Drake Stadium, Des Moines, IA (USA)",6/22/2018,974,11.06,1.4,847,6.59,0,718,10.91,540,1.78,610,50.49,792,15.31,0.9,812,34.97,563,4.75,834,50.63,598,04:37.4,697.19,7011
501,Urban ČEHOVIN,12/30/1993,SLO,12,"Stadio Luigi Ridolfi, Firenze (ITA)",4/30/2016,974,11.39,-1,776,7.10,1.5,838,12.50,637,1.77,602,49.75,826,15.78,1.4,758,44.63,759,3.75,549,47.72,555,04:35.2,711.46,7011
414,Adriaan SAMAN,10/12/1983,NED,27,Szczecin (POL),6/28/2009,974,11.76,-0.1,699,6.48,0.4,693,12.99,667,1.92,731,50.53,790,15.16,0.9,830,38.73,639,4.20,673,47.23,548,04:30.6,741.17,7011
461,Xiang FEI,9/9/1998,CHN,12,Chongqing (CHN),6/27/2021,974,11.31,0.5,793,6.72,-0.9,748,12.41,631,1.92,731,50.81,778,15.28,-0.4,816,35.39,572,4.40,731,46.69,540,04:41.5,671.44,7011
442,Aiden DAVIES,12/26/1995,GBR,5,Manchester (GBR),8/5/2018,974,11.26,-0.1,804,6.84,0.1,776,12.98,666,1.83,653,49.40,842,16.11,0,720,40.84,682,4.07,637,41.30,461,04:26.2,770.31,7011
501,Derek JACOBUS,7/23/1995,USA,18,"Eugene, OR (USA)",6/9/2016,974,11.03,1.3,854,6.99,2.9,811,12.51,637,1.89,705,49.28,848,15.95,0.9,738,36.96,603,4.20,673,40.04,443,04:37.1,699.42,7011
420,Ramo KASK,7/13/1989,EST,5,Rakvere (EST),8/19/2010,974,11.69,0.6,713,6.70,0.1,743,13.10,673,1.90,714,52.94,684,16.13,2.7,718,40.76,680,4.20,673,59.40,729,04:39.5,683.76,7010
444,Nozomu OGURA,12/3/1992,JPN,5,Kawasaki (JPN),9/8/2018,974,11.46,-2.2,761,6.77,0.5,760,9.15,435,2.02,822,50.08,811,14.79,0.8,875,28.46,434,4.20,673,54.74,659,04:24.7,780.47,7010
525,Steven ELEONORA,4/22/1996,NED,3,Den Haag (NED),7/28/2019,974,11.39,0.7,776,6.49,0.9,695,11.40,570,1.85,670,50.83,777,15.90,-0.7,744,37.97,623,4.73,828,53.58,642,04:39.3,685.27,7010
383,Adrian RENTSCH,5/21/1981,SUI,22,Jyväskylä (FIN),7/3/2005,974,11.52,1.4,748,6.88,1.3,785,12.12,614,2.01,813,50.27,802,16.22,0.4,708,34.25,549,4.00,617,53.16,635,04:30.8,739.53,7010
477,Dragan PEŠIĆ,12/30/1993,MNE,3,"Stadionul de atletism ""Nicolae Mărășescu"", Craiova (ROU)",6/19/2022,974,11.87,-2.5,677,6.07,1.8,602,13.00,667,1.94,749,50.93,772,15.32,-0.6,811,41.98,705,4.20,673,52.60,627,04:32.7,727.22,7010
500,Austin EMRY,11/28/1990,USA,1,"Forest Grove, OR (USA)",5/9/2013,974,11.3,0,795,7.07,-0.9,830,13.18,678,1.99,794,51.64,741,14.71,0,885,35.44,573,4.05,631,50.52,596,05:13.1,487.36,7010
462,Rolus OLUSA,8/8/1996,IRL,1,"Mary Peters Track, Belfast (GBR)",8/8/2021,974,11.28,1.5,799,7.05,0.3,826,11.97,605,1.90,714,52.25,714,15.11,0.2,836,37.18,607,4.20,673,49.74,585,04:44.7,651.74,7010
477,Ryan ENERSON,5/19/1996,USA,3,"Drake Stadium, Des Moines, IA (USA)",4/28/2022,974,11.81,-2.5,689,6.43,0.9,682,14.05,731,1.92,731,51.15,762,15.01,1.4,848,37.23,608,4.40,731,48.39,565,04:42.8,663.33,7010
496,Adam HROMČÍK,3/6/1989,CZE,4,Stará Boleslav (CZE),5/20/2012,974,11.23,-0.9,810,7.11,1.1,840,12.17,617,1.84,661,50.68,784,15.59,-1.1,780,36.6,596,4.40,731,46.85,542,04:45.0,649.77,7010
354,Marek ANEŠTÍK,4/27/1974,SVK,12,Maribor (SLO),6/30/2002,974,11.9,-0.8,671,6.97,0.8,807,13.47,696,1.89,705,52.24,714,15.29,0.9,815,42.92,724,4.10,645,46.62,539,04:37.8,694.71,7010
444,Lachlan CALVERT,8/31/1995,AUS,5,Gold Coast (AUS),2/17/2018,974,11.06,1.7,847,6.95,1.9,802,10.93,542,1.86,679,49.06,858,16.38,-0.5,691,30.45,473,4.40,731,46.37,535,04:14.1,852.75,7010
500,Theodore ELSENBAUMER,,USA,2,"Chico, CA (USA)",3/1/2013,974,11.36,0,782,6.52,-0.8,702,11.27,562,1.95,758,50.03,813,15.57,-0.8,782,38.1,626,4.24,685,45.77,526,04:25.6,774.24,7010
517,Martin BROCKMAN,11/13/1987,GBR,13,"Hampden Park, Glasgow (GBR)",7/29/2014,974,11.54,0.8,744,6.93,-1.3,797,13.84,719,2.05,850,50.83,777,15.65,0.4,773,37.85,621,4.50,760,42.15,473,05:11.4,496.25,7010
525,Jared SEAY,,USA,7,"Iowa City, IA (USA)",5/11/2019,974,10.9,1.1,883,7.16,2.1,852,13.64,706,2.09,887,50.27,802,14.58,-0.7,901,39.44,653,4.30,702,34.45,362,06:00.5,262.53,7010
446,Gilbert KOECH,8/12/1989,KEN,8,Gold Coast (AUS),4/10/2018,974,11.38,0,778,6.59,0.9,718,13.21,680,1.83,653,49.28,848,15.63,0.3,775,40.8,681,3.30,431,58.27,712,04:31.8,733.20,7009
415,Wenliang YANG,1/19/1989,CHN,12,Jinan (CHN),10/25/2009,974,11.43,0.1,767,6.51,0.6,700,12.21,619,1.82,644,51.98,726,16.05,-0.3,727,41.47,694,4.60,790,57.61,702,04:46.5,640.12,7009
421,Norbert KOVÁCS,8/27/1979,HUN,16,"Blankers-Koen Stadion, Hengelo (NED)",6/27/2010,974,11.56,-0.7,740,6.84,2.4,776,12.92,662,1.89,705,50.97,770,15.76,-2.1,760,38.01,624,4.40,731,52.62,627,04:50.8,614.53,7009
503,Artur SUYUNOV,8/10/1991,UKR,3,Lutsk (UKR),6/17/2016,974,11.55,0,742,7.09,-1,835,13.18,678,1.81,636,50.92,773,15.43,-0.7,798,36.14,587,4.30,702,51.37,609,04:45.0,649.89,7009
497,David GRZESIAK,7/28/1988,USA,13,"Hayward Field, Eugene, OR (USA)",6/23/2012,974,11.56,-0.2,740,6.50,1,697,12.58,642,1.90,714,50.48,793,15.36,-1.1,807,34.52,554,4.60,790,50.57,597,04:40.9,675.08,7009
527,Vadym ADAMCHUK,5/30/1994,UKR,2,Lutsk (UKR),8/22/2019,974,11.66,2.1,719,6.96,1.8,804,13.61,704,1.90,714,52.85,688,15.47,2.2,794,39.77,660,4.40,731,50.00,589,04:52.1,606.62,7009
503,Asuka KASHIWAGURA,12/17/1994,JPN,7,Wakayama (JPN),5/1/2016,974,11.45,-1.3,763,6.93,0.9,797,11.24,560,1.90,714,49.99,815,14.60,0,899,30.33,471,4.20,673,50.00,589,04:32.5,728.58,7009
158,Jacopo ZANATTA,8/21/1996,ITA,3,"Asd Pro Sport, Firenze (ITA)",8/2/2020,974,11.35,0.6,784,6.99,1.7,811,12.21,619,1.99,794,51.05,767,15.16,0,830,37.3,610,4.30,702,49.81,586,05:09.5,506.92,7009
497,Mateusz CHMIELINSKI,1/22/1992,POL,4,Bialogard (POL),5/27/2012,974,11.48,-0.5,757,6.79,0.8,764,11.10,552,2.01,813,51.25,758,15.24,1.4,821,35.38,571,4.20,673,48.29,563,04:31.2,737.31,7009
446,Jake HORSCH,,USA,1,"Wichita, KS (USA)",4/11/2018,974,11.12,2.2,834,6.64,4,729,11.51,577,1.78,610,48.54,883,15.53,3.4,787,36.49,594,4.05,631,48.04,560,04:21.0,804.91,7009
497,Jordan GOFFENA,2/28/1990,USA,1,"Charlotte, NC (USA)",3/16/2012,974,11.29,0.1,797,6.53,-0.7,704,11.35,567,1.86,679,49.64,831,14.73,-0.2,882,34.98,563,4.40,731,47.76,556,04:37.0,699.68,7009
286,Richard REEKS,12/6/1985,GBR,19,Jyväskylä (FIN),6/29/2008,974,11.25,1.7,806,6.81,0.4,769,11.27,562,1.98,785,50.23,804,14.79,1.3,875,35.71,578,4.30,702,44.87,513,04:50.6,615.37,7009
501,Vincenzo VIGLIOTTI,5/10/1994,ITA,1,Lana (ITA),5/31/2015,974,11.06,-1.6,847,7.28,2.3,881,12.42,632,1.91,723,49.16,854,15.32,-0.7,811,35.63,576,4.00,617,40.55,450,04:50.1,618.26,7009
159,Simon THOR,3/14/2000,SWE,1,Ljungby (SWE),6/15/2020,974,11.92,2.7,667,6.87,3.5,783,13.55,701,1.95,758,55.19,591,16.45,1.6,683,38.99,644,4.80,849,60.26,742,04:54.9,590.12,7008
528,Min-young CHOI,6/12/1994,KOR,2,Kimchun (KOR),6/14/2019,974,11.47,0.4,759,6.66,-1.8,734,13.09,673,1.88,696,51.35,753,15.93,0,741,36.62,596,4.50,760,49.09,575,04:33.6,721.65,7008
528,Mario ARANCÓN,3/29/1994,ESP,9,"Antonio Domínguez Stadium, Arona (ESP)",6/9/2019,974,11.36,-1.5,782,6.81,0,769,10.64,524,1.81,636,51.65,740,14.88,0.9,864,40.83,681,4.40,731,47.97,559,04:33.5,722.10,7008
505,John SEALS,10/22/1995,USA,2,"Fairfax, VA (USA)",5/8/2016,974,11.03,1.8,854,6.95,2.2,802,10.99,545,2.07,868,50.25,803,14.84,-1.3,869,37.92,622,3.95,603,47.90,558,05:13.6,484.66,7008
479,Adolfo SAINZ-MAZA,1/7/1995,ESP,8,"Antonio Domínguez Stadium, Arona (ESP)",6/5/2022,974,11.49,0.2,755,6.94,0,799,12.80,655,1.89,705,52.04,723,15.03,0.4,846,38.99,644,4.50,760,46.28,534,04:55.3,587.53,7008
463,Seigi SATA,8/11/2000,JPN,5,"Prefectural Stadium, Kumagaya (JPN)",9/18/2021,974,11.17,1.6,823,7.01,0.6,816,11.35,567,1.93,740,50.42,795,14.80,0.3,874,31.74,499,4.10,645,45.58,523,04:32.9,726.11,7008
502,Peter RHODES,,USA,3,"Philadelphia, PA (USA)",5/9/2015,974,11.73,0,705,6.86,-0.3,781,11.76,592,1.94,749,51.62,741,14.83,0.7,870,41.33,692,4.24,685,40.66,452,04:30.5,741.76,7008
503,Tero OJALA,5/12/1986,FIN,5,Pori (FIN),8/2/2015,973,11.61,0.6,730,6.53,0.1,704,13.21,680,1.81,636,53.29,669,16.12,-0.1,719,41.32,691,4.55,775,64.07,799,04:52.5,604.06,7007
488,Alberto ZARATE,2/12/1983,MEX,9,Guadalajara (MEX),10/25/2011,973,11.58,0.5,736,6.74,-2.7,753,12.71,650,1.84,661,51.02,768,16.71,1.7,655,37.87,621,4.50,760,57.72,704,04:37.0,699.62,7007
417,Kyle MILLS-BUNJE,12/11/1987,USA,4,"Eugene, OR (USA)",5/10/2009,973,11.37,1.9,780,6.74,1,753,12.45,634,1.95,758,52.21,716,16.12,0.7,719,37.01,604,4.55,775,54.22,651,04:50.3,617.11,7007
448,Tyler GROB,6/17/1991,USA,12,"Drake Stadium, Des Moines, IA (USA)",6/22/2018,973,11.25,0.1,806,6.42,0,679,13.51,698,1.78,610,52.25,714,15.63,1,775,38.67,638,4.85,865,53.84,646,04:57.2,576.52,7007
502,Petri LEMMETYINEN,1/31/1989,FIN,4,Vaasa (FIN),7/28/2013,973,11.22,-1.2,812,6.83,1,774,13.63,706,1.75,585,53.34,667,14.86,-0.8,867,42.44,714,4.05,631,53.71,644,04:51.9,607.76,7007
417,Gerardo CANALE,10/24/1984,ARG,1,Santa Fé (ARG),5/2/2009,973,11.62,2.7,728,6.96,2.4,804,12.10,612,2.04,840,52.72,694,15.43,0,798,36.26,589,4.20,673,53.63,642,04:48.7,627.02,7007
465,Daniel BERTSCHLER,1/22/2001,AUT,1,"Umdasch Stadion, Amstetten (AUT)",8/29/2021,973,11.22,-0.3,812,6.33,0.3,659,11.48,575,1.94,749,51.12,764,15.33,0.1,810,41.02,685,4.50,760,50.69,599,04:54.1,594.44,7007
362,Erik SVENSSON,8/10/1979,SWE,25,Ried im Innkreis (AUT),7/1/2001,973,11.49,1,755,6.48,0.5,693,13.10,673,1.92,731,51.92,728,15.46,0.6,795,38.33,631,4.30,702,49.63,583,04:36.0,706.26,7007
518,Kojiro TANI,4/30/1992,JPN,2,Saitama (JPN),5/17/2014,973,11.13,-0.1,832,6.78,-1,762,12.51,637,1.85,670,50.31,800,14.49,1.9,912,35.3,570,4.00,617,49.37,579,04:48.5,628.18,7007
372,Björn BARREFORS,10/21/1987,SWE,22,Szczecin (POL),7/8/2007,973,11.25,2.5,806,6.62,2.8,725,11.13,554,1.98,785,51.11,764,14.59,2.4,900,34.55,555,4.30,702,48.10,561,04:44.0,655.51,7007
506,Valentin OLIYNYK,11/10/1994,UKR,3,Kirovograd (UKR),7/24/2016,973,11.26,1.1,804,6.90,-0.1,790,12.70,649,1.91,723,50.60,787,15.43,1.8,798,37.36,611,4.20,673,46.57,538,04:47.5,634.08,7007
324,Michał CHALABALA,3/8/1984,POL,24,Arles (FRA),7/2/2006,973,11.53,3.4,746,6.86,0.9,781,13.50,698,1.88,696,50.26,803,15.00,0.6,850,38.24,629,4.20,673,45.67,525,04:52.1,606.68,7007
530,Ísak Óli TRAUSTASON,10/16/1995,ISL,2,Akureyri (ISL),8/18/2019,973,10.99,2.3,863,6.90,3.5,790,12.46,634,1.78,610,50.63,786,14.87,2.4,865,40.15,668,4.14,656,41.84,469,04:42.3,666.26,7007
506,Trent NYTES,12/21/1995,USA,14,"Athens, GA (USA)",4/7/2016,973,11.28,1.8,799,7.29,0.5,883,12.13,614,2.06,859,51.22,759,15.57,1.5,782,40.81,681,4.05,631,41.21,460,05:03.7,539.22,7007
530,Giovanni BROWN,,USA,1,"Ellensburg, WA (USA)",4/30/2019,973,11.78,0,695,6.24,-1.1,639,14.04,731,1.82,644,50.92,773,15.08,-0.2,840,45.22,771,4.10,645,40.59,451,04:19.0,818.77,7007
530,Giovanni BROWN,,USA,1,"Monmouth, OR (USA)",5/11/2019,973,11.78,0,695,6.24,-1.1,639,14.04,731,1.82,644,50.92,773,15.08,-0.2,840,45.22,771,4.10,645,40.59,451,04:19.0,818.77,7007
449,Brian DONNA,,USA,1,"San Antonio, TX (USA)",5/6/2018,973,11.25,0.2,806,6.65,2,732,12.02,608,1.78,610,49.59,834,15.00,0.6,850,36.01,584,4.16,662,53.66,643,04:40.5,677.78,7006
